Chunk_size,Chunk_Overlap,Top_N,Distance_Function,Time,Story Number,Question Number,isQuestionBad,isAnswerAbsent,EM,Precision,Recall,F1,Original Question,Correct Answer,Normalized Actual Answer,Predicted Answer,Normalized Predicted Answer,EM Fail,Chunk Retrieval Failure,Answer Generation Failure,Answer Too Long,Question Type,Did not retrieve correct chunk,Did not generate correct answer,Answer too long,Answer is the same meaning,Better answer
100,0,2,cosine,26.59604931,0,0,0,0,1,1,1,1,What was the amount of children murdered?,19,19,19,19,0,0,0,0,what,0,0,0,0,0
100,0,2,cosine,52.51296449,0,1,0,0,1,1,1,1,When was Pandher sentenced to death?,"February.
",februari, In February,februari,0,0,0,0,when,0,0,0,0,0
100,0,2,cosine,81.16826987,0,2,0,0,0,0.333333333,0.5,0.4,The court aquitted Moninder Singh Pandher of what crime?,rape and murder ,rape murder, Murder (implied by context),murder impli context,1,1,0,0,what,1,0,0,0,0
100,0,2,cosine,109.1903141,0,3,0,0,0,0.5,1,0.666666667,who was acquitted,Moninder Singh Pandher ,monind singh pandher,"1. Moninder Singh Pandher
    2. Acquitted",1. monind singh pandher 2. acquit,1,1,0,0,who,1,0,1,0,0
100,0,2,cosine,133.2782912,0,4,0,0.33,0,0.428571429,1,0.6,who was sentenced,Moninder Singh Pandher ,monind singh pandher,"1. Moninder Singh Pandher
    2. Surinder Koli",1. monind singh pandher 2. surind koli,1,0,0,1,who,0,0,1,0,0
100,0,2,cosine,161.9935846,0,5,0,0,0,0,0,0,What was Moninder Singh Pandher acquitted for?,the killing of a teen ,kill teen, Acquittal of Murder Charges,acquitt murder charg,1,1,0,0,what,1,0,0,1,0
100,0,2,cosine,188.5328729,0,6,0,0,0,0.75,1,0.857142857,Who was sentenced to death in February?,Moninder Singh Pandher ,monind singh pandher,1. Moninder Singh Pandher,1. monind singh pandher,1,0,0,1,who,0,0,1,1,0
100,0,2,cosine,210.6698885,0,7,0,0,0,0.5,1,0.666666667,how many people died,19,19,19 people,19 peopl,1,0,0,1,how many,0,0,0,1,0
100,0,2,cosine,236.6780798,0,8,0,0,0,0.5,1,0.666666667,How many children and young women were murdered?,19,19,19 victims,19 victim,1,0,0,1,how many,0,0,0,1,0
100,0,2,cosine,262.5530009,1,0,0,0,0,0,0,0,Where was one employee killed?,Sudanese region of Darfur ,sudanes region darfur, In Chad (or Seleia),chad seleia,1,1,0,0,where,1,0,0,0,0
